subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00046,Aisha Al Maktoum,Dubai,Zone 4,Prepaid,Unlimited,430.44,2025-03-18,Suspended
SUB_00047,Omar Al Maktoum,Dubai,Zone 5,Postpaid,Premium,269.39,2025-05-23,Active
SUB_00048,Leila Al Kindi,Abu Dhabi,Zone 2,Prepaid,Basic,52.53,2024-02-02,Suspended
SUB_00049,Ahmed Al Mansouri,Ajman,Zone 4,Postpaid,Standard,116.63,2024-03-29,Active
SUB_00050,Leila Al Maktoum,Sharjah,Zone 7,Postpaid,Premium,335.37,2025-02-21,Active
SUB_00051,Omar Al Mansouri,Abu Dhabi,Zone 7,Prepaid,Basic,63.26,2024-04-30,Suspended
SUB_00052,Ali Al Falasi,Abu Dhabi,Zone 8,Prepaid,Basic,57.74,2024-10-09,Active
SUB_00053,Aisha Al Mansouri,Dubai,Zone 1,Prepaid,Standard,174.8,2025-06-11,Active
SUB_00054,Ahmed Al Kindi,Sharjah,Zone 8,Prepaid,Premium,275.43,2024-02-12,Active
SUB_00055,Mohammed Al Mansouri,Dubai,Zone 2,Postpaid,Standard,185.13,2025-05-30,Active
SUB_00056,Noor Al Mansouri,Sharjah,Zone 4,Prepaid,Basic,70.19,2024-01-03,Active
SUB_00057,Aisha Al Kindi,Dubai,Zone 1,Prepaid,Unlimited,442.91,2024-06-05,Active
SUB_00058,Noor Al Kindi,Ajman,Zone 6,Postpaid,Premium,340.21,2025-01-11,Active
SUB_00059,Hana Al Maktoum,Abu Dhabi,Zone 5,Prepaid,Basic,69.79,2023-09-21,Active
SUB_00060,Ali Al Falasi,Dubai,Zone 6,Prepaid,Standard,192.9,2025-05-26,Active
SUB_00061,Ahmed Al Falasi,Ajman,Zone 2,Postpaid,Unlimited,360.99,2025-01-02,Active
SUB_00062,Hassan Al Qassimi,Dubai,Zone 3,Postpaid,Standard,193.33,2025-05-30,Churned
SUB_00063,Aisha Al Qassimi,Fujairah,Zone 5,Postpaid,Basic,57.89,2024-01-30,Active
SUB_00064,Ali Al Kindi,Ajman,Zone 1,Prepaid,Basic,83.39,2024-01-19,Active
SUB_00065,Ali Al Mansouri,Ajman,Zone 3,Postpaid,Standard,126.45,2025-04-21,Active
SUB_00066,Hassan Al Maktoum,Abu Dhabi,Zone 5,Postpaid,Basic,64.09,2025-01-05,Active
SUB_00067,Hana Al Maktoum,Ajman,Zone 5,Postpaid,Premium,275.81,2024-11-24,Active
SUB_00068,Ahmed Al Mansouri,Abu Dhabi,Zone 7,Prepaid,Premium,324.4,2025-06-24,Active
SUB_00069,Ahmed Al Qassimi,Ajman,Zone 3,Postpaid,Standard,163.71,2024-11-13,Active
SUB_00070,Mohammed Al Falasi,Sharjah,Zone 7,Postpaid,Premium,284.14,2025-04-16,Active
SUB_00071,Fatima Al Maktoum,Ajman,Zone 1,Prepaid,Standard,183.46,2023-12-21,Active
SUB_00072,Hassan Al Maktoum,Abu Dhabi,Zone 7,Prepaid,Standard,112.74,2024-09-27,Active
SUB_00073,Hana Al Mansouri,Dubai,Zone 6,Prepaid,Basic,60.5,2024-11-26,Active
SUB_00074,Fatima Al Qassimi,Sharjah,Zone 7,Prepaid,Basic,98.69,2025-03-03,Active
SUB_00075,Aisha Al Maktoum,Sharjah,Zone 3,Prepaid,Standard,188.14,2025-07-14,Active
SUB_00076,Mohammed Al Qassimi,Dubai,Zone 7,Prepaid,Standard,180.22,2024-11-27,Active
SUB_00077,Ali Al Maktoum,Sharjah,Zone 2,Postpaid,Standard,138.25,2025-06-30,Active
SUB_00078,Leila Al Maktoum,Sharjah,Zone 4,Prepaid,Standard,181.66,2024-04-24,Active
SUB_00079,Hana Al Qassimi,Dubai,Zone 4,Postpaid,Premium,233.44,2023-10-03,Active
SUB_00080,Aisha Al Falasi,Abu Dhabi,Zone 6,Prepaid,Basic,63.93,2025-05-29,Active
SUB_00081,Ali Al Qassimi,Abu Dhabi,Zone 7,Postpaid,Premium,301.93,2024-02-06,Active
SUB_00082,Hana Al Mansouri,Fujairah,Zone 2,Postpaid,Standard,187.7,2024-11-14,Active
SUB_00083,Mohammed Al Kindi,Abu Dhabi,Zone 5,Prepaid,Standard,103.83,2023-12-07,Active
SUB_00084,Omar Al Qassimi,Dubai,Zone 6,Prepaid,Basic,71.82,2024-03-03,Active
SUB_00085,Fatima Al Falasi,Ajman,Zone 4,Postpaid,Standard,125.47,2024-05-19,Active
SUB_00086,Ahmed Al Kindi,Abu Dhabi,Zone 4,Prepaid,Basic,68.21,2025-05-29,Active
SUB_00087,Hana Al Kindi,Abu Dhabi,Zone 6,Postpaid,Standard,166.34,2025-04-03,Active
SUB_00088,Ali Al Kindi,Abu Dhabi,Zone 5,Postpaid,Standard,166.69,2024-09-08,Suspended
SUB_00089,Omar Al Qassimi,Sharjah,Zone 3,Prepaid,Basic,59.59,2023-09-28,Active
SUB_00090,Omar Al Maktoum,Dubai,Zone 5,Prepaid,Unlimited,410.91,2025-08-08,Active
SUB_00091,Ali Al Qassimi,Abu Dhabi,Zone 4,Postpaid,Standard,142.99,2023-12-24,Active
SUB_00092,Noor Al Qassimi,Ajman,Zone 8,Prepaid,Unlimited,416.27,2023-09-17,Suspended
SUB_00093,Aisha Al Kindi,Dubai,Zone 8,Prepaid,Basic,89.69,2025-02-16,Active
SUB_00094,Fatima Al Qassimi,Dubai,Zone 6,Postpaid,Basic,54.67,2024-12-11,Active
SUB_00095,Ali Al Maktoum,Sharjah,Zone 4,Prepaid,Premium,222.1,2025-06-22,Active
SUB_00096,Aisha Al Falasi,Dubai,Zone 2,Postpaid,Standard,145.54,2023-11-03,Suspended
SUB_00097,Noor Al Maktoum,Sharjah,Zone 7,Postpaid,Basic,74.72,2024-12-02,Active
SUB_00098,Mohammed Al Mansouri,Sharjah,Zone 2,Postpaid,Unlimited,466.76,2024-12-27,Active
SUB_00099,Mohammed Al Kindi,Abu Dhabi,Zone 8,Postpaid,Standard,105.02,2024-11-26,Suspended
SUB_00100,Fatima Al Falasi,Ajman,Zone 3,Prepaid,Premium,320.21,2023-09-25,Active
SUB_00101,Hassan Al Kindi,Dubai,Zone 6,Postpaid,Standard,195.0,2024-05-12,Active
SUB_00102,Noor Al Kindi,Dubai,Zone 7,Postpaid,Standard,183.06,2024-01-25,Active
SUB_00103,Leila Al Maktoum,Ajman,Zone 8,Prepaid,Standard,145.01,2024-11-28,Churned
SUB_00104,Ali Al Kindi,Fujairah,Zone 8,Prepaid,Standard,162.67,2024-10-31,Active
SUB_00105,Leila Al Mansouri,Dubai,Zone 5,Prepaid,Premium,235.17,2024-08-30,Active
SUB_00106,Hana Al Kindi,Sharjah,Zone 2,Postpaid,Basic,56.92,2024-12-15,Active
SUB_00107,Omar Al Maktoum,Dubai,Zone 4,Prepaid,Standard,106.42,2024-06-17,Suspended
SUB_00108,Hana Al Kindi,Abu Dhabi,Zone 8,Prepaid,Basic,70.79,2025-01-09,Active
SUB_00109,Omar Al Falasi,Abu Dhabi,Zone 1,Prepaid,Basic,92.84,2023-12-28,Active
SUB_00110,Omar Al Falasi,Dubai,Zone 1,Postpaid,Premium,341.41,2024-10-07,Active
SUB_00111,Omar Al Falasi,Dubai,Zone 4,Postpaid,Standard,148.82,2024-11-02,Active
SUB_00112,Omar Al Falasi,Sharjah,Zone 1,Postpaid,Unlimited,408.33,2023-09-24,Active
SUB_00113,Omar Al Maktoum,Abu Dhabi,Zone 8,Prepaid,Premium,337.93,2023-11-10,Active
SUB_00114,Hassan Al Mansouri,Abu Dhabi,Zone 7,Postpaid,Basic,79.59,2023-09-30,Active
SUB_00115,Ahmed Al Mansouri,Dubai,Zone 7,Prepaid,Basic,56.78,2024-04-23,Active
SUB_00116,Mohammed Al Mansouri,Dubai,Zone 5,Postpaid,Premium,256.87,2025-01-04,Active
SUB_00117,Leila Al Qassimi,Fujairah,Zone 6,Prepaid,Basic,88.06,2024-07-16,Suspended
SUB_00118,Ali Al Falasi,Dubai,Zone 5,Postpaid,Basic,91.75,2024-04-14,Churned
SUB_00119,Ahmed Al Kindi,Dubai,Zone 1,Postpaid,Standard,199.99,2024-08-15,Churned
SUB_00120,Aisha Al Mansouri,Dubai,Zone 1,Prepaid,Unlimited,463.13,2024-11-28,Active
SUB_00121,Aisha Al Mansouri,Abu Dhabi,Zone 3,Postpaid,Standard,123.85,2024-04-11,Active
SUB_00122,Fatima Al Kindi,Abu Dhabi,Zone 4,Postpaid,Basic,73.25,2024-11-19,Active
SUB_00123,Hana Al Maktoum,Fujairah,Zone 2,Postpaid,Standard,177.78,2025-02-22,Active
SUB_00124,Ali Al Mansouri,Dubai,Zone 1,Prepaid,Standard,192.89,2023-12-28,Active
SUB_00125,Omar Al Falasi,Abu Dhabi,Zone 4,Prepaid,Unlimited,361.4,2023-11-05,Churned
SUB_00126,Aisha Al Mansouri,Sharjah,Zone 5,Prepaid,Standard,185.03,2023-12-03,Active
SUB_00127,Fatima Al Kindi,Sharjah,Zone 1,Prepaid,Unlimited,402.08,2024-05-27,Active
SUB_00128,Hana Al Mansouri,Ajman,Zone 6,Postpaid,Standard,101.27,2024-06-04,Active
SUB_00129,Leila Al Mansouri,Ajman,Zone 7,Postpaid,Basic,98.04,2023-10-28,Active
SUB_00130,Leila Al Maktoum,Abu Dhabi,Zone 7,Postpaid,Unlimited,376.42,2024-02-21,Active
SUB_00131,Ali Al Kindi,Abu Dhabi,Zone 8,Prepaid,Unlimited,419.73,2023-12-11,Active
SUB_00132,Ali Al Qassimi,Sharjah,Zone 4,Prepaid,Standard,183.07,2025-05-12,Active
SUB_00133,Ali Al Falasi,Dubai,Zone 4,Postpaid,Premium,312.57,2024-01-03,Churned
SUB_00134,Noor Al Falasi,Fujairah,Zone 6,Prepaid,Premium,204.3,2024-09-10,Suspended
SUB_00135,Mohammed Al Falasi,Sharjah,Zone 4,Prepaid,Standard,135.48,2024-11-17,Active
SUB_00136,Hana Al Qassimi,Fujairah,Zone 5,Postpaid,Basic,77.79,2024-02-26,Active
SUB_00137,Aisha Al Mansouri,Abu Dhabi,Zone 4,Prepaid,Basic,86.0,2024-03-26,Active
SUB_00138,Hassan Al Maktoum,Abu Dhabi,Zone 8,Postpaid,Standard,164.59,2024-03-24,Suspended
SUB_00139,Leila Al Mansouri,Abu Dhabi,Zone 2,Prepaid,Premium,244.14,2024-06-20,Active
SUB_00140,Aisha Al Qassimi,Dubai,Zone 6,Prepaid,Premium,270.99,2024-02-12,Active
SUB_00141,Hana Al Falasi,Sharjah,Zone 6,Prepaid,Basic,67.59,2024-05-01,Active
SUB_00142,Ali Al Qassimi,Abu Dhabi,Zone 5,Prepaid,Standard,123.05,2025-01-23,Active
SUB_00143,Hana Al Mansouri,Ajman,Zone 3,Prepaid,Standard,119.15,2024-03-31,Active
SUB_00144,Ali Al Kindi,Abu Dhabi,Zone 5,Postpaid,Premium,347.08,2025-01-22,Suspended
SUB_00145,Ali Al Maktoum,Dubai,Zone 6,Postpaid,Standard,117.94,2025-07-25,Active
SUB_00146,Hassan Al Maktoum,Abu Dhabi,Zone 5,Postpaid,Standard,104.55,2025-06-14,Active
SUB_00147,Hassan Al Qassimi,Abu Dhabi,Zone 3,Prepaid,Basic,81.89,2024-03-24,Active
SUB_00148,Fatima Al Mansouri,Dubai,Zone 5,Prepaid,Basic,73.47,2024-05-14,Active
SUB_00149,Hana Al Maktoum,Dubai,Zone 1,Prepaid,Premium,237.87,2024-04-06,Active
SUB_00150,Fatima Al Mansouri,Sharjah,Zone 7,Prepaid,Basic,74.59,2023-12-27,Active
SUB_00151,Ahmed Al Maktoum,Dubai,Zone 3,Prepaid,Basic,90.56,2024-10-01,Active
SUB_00152,Fatima Al Maktoum,Dubai,Zone 2,Prepaid,Basic,77.9,2024-06-08,Active
SUB_00153,Noor Al Kindi,Abu Dhabi,Zone 4,Postpaid,Basic,88.78,2024-07-15,Active
SUB_00154,Leila Al Falasi,Abu Dhabi,Zone 5,Prepaid,Premium,329.02,2024-05-26,Suspended
SUB_00155,Ali Al Kindi,Dubai,Zone 1,Prepaid,Premium,291.44,2025-04-29,Active
SUB_00156,Aisha Al Maktoum,Dubai,Zone 5,Prepaid,Standard,166.04,2025-03-01,Active
SUB_00157,Aisha Al Maktoum,Abu Dhabi,Zone 2,Prepaid,Standard,115.65,2024-06-16,Active
SUB_00158,Leila Al Kindi,Dubai,Zone 8,Prepaid,Premium,243.69,2024-12-14,Suspended
SUB_00159,Ali Al Qassimi,Abu Dhabi,Zone 8,Prepaid,Basic,53.56,2024-12-12,Active
SUB_00160,Ali Al Kindi,Abu Dhabi,Zone 4,Prepaid,Basic,71.26,2024-01-29,Active
SUB_00161,Aisha Al Maktoum,Dubai,Zone 5,Prepaid,Basic,91.33,2025-05-27,Active
SUB_00162,Ahmed Al Maktoum,Dubai,Zone 5,Postpaid,Standard,159.5,2024-01-04,Active
SUB_00163,Ali Al Falasi,Sharjah,Zone 2,Prepaid,Basic,73.43,2024-10-01,Active
SUB_00164,Omar Al Qassimi,Abu Dhabi,Zone 8,Postpaid,Standard,143.78,2023-12-05,Active
SUB_00165,Ahmed Al Falasi,Dubai,Zone 6,Prepaid,Standard,160.37,2025-07-13,Active
SUB_00166,Fatima Al Maktoum,Abu Dhabi,Zone 1,Postpaid,Standard,199.96,2023-09-20,Active
SUB_00167,Ali Al Kindi,Dubai,Zone 1,Prepaid,Basic,88.16,2025-02-10,Active
SUB_00168,Leila Al Kindi,Dubai,Zone 8,Prepaid,Basic,95.8,2025-02-04,Suspended
SUB_00169,Noor Al Falasi,Dubai,Zone 8,Prepaid,Standard,196.91,2024-04-14,Churned
SUB_00170,Hana Al Falasi,Dubai,Zone 6,Prepaid,Unlimited,398.16,2025-04-23,Suspended
SUB_00171,Mohammed Al Qassimi,Sharjah,Zone 7,Prepaid,Basic,84.68,2024-10-17,Active
SUB_00172,Omar Al Kindi,Ajman,Zone 1,Prepaid,Standard,145.48,2024-09-20,Active
SUB_00173,Ali Al Qassimi,Sharjah,Zone 2,Prepaid,Standard,197.02,2024-06-21,Active
SUB_00174,Hassan Al Mansouri,Abu Dhabi,Zone 8,Prepaid,Basic,70.66,2025-01-28,Active
SUB_00175,Hassan Al Qassimi,Dubai,Zone 8,Prepaid,Basic,81.27,2025-06-17,Active
SUB_00176,Aisha Al Qassimi,Abu Dhabi,Zone 3,Prepaid,Standard,192.77,2024-05-17,Active
SUB_00177,Leila Al Mansouri,Dubai,Zone 1,Postpaid,Standard,197.31,2023-11-24,Active
SUB_00178,Aisha Al Maktoum,Dubai,Zone 5,Postpaid,Premium,282.63,2024-01-21,Active
SUB_00179,Omar Al Mansouri,Abu Dhabi,Zone 4,Prepaid,Standard,199.23,2025-04-14,Suspended
SUB_00180,Leila Al Mansouri,Sharjah,Zone 3,Postpaid,Basic,74.92,2024-10-14,Active
SUB_00181,Hassan Al Qassimi,Ajman,Zone 7,Prepaid,Basic,91.74,2024-04-12,Active
SUB_00182,Aisha Al Falasi,Abu Dhabi,Zone 3,Postpaid,Basic,69.18,2023-12-04,Active
SUB_00183,Hassan Al Maktoum,Dubai,Zone 2,Prepaid,Basic,63.81,2024-06-10,Active
SUB_00184,Hana Al Kindi,Sharjah,Zone 5,Prepaid,Standard,182.05,2024-10-23,Suspended
SUB_00185,Ali Al Kindi,Abu Dhabi,Zone 8,Postpaid,Standard,186.53,2024-05-08,Active
SUB_00186,Hassan Al Falasi,Abu Dhabi,Zone 6,Prepaid,Premium,249.87,2024-01-30,Active
SUB_00187,Omar Al Falasi,Dubai,Zone 6,Postpaid,Standard,186.96,2024-12-07,Active
SUB_00188,Noor Al Falasi,Ajman,Zone 4,Postpaid,Basic,92.8,2024-06-14,Suspended
SUB_00189,Ahmed Al Qassimi,Abu Dhabi,Zone 8,Prepaid,Basic,85.26,2024-07-14,Active
SUB_00190,Omar Al Maktoum,Abu Dhabi,Zone 8,Prepaid,Premium,344.72,2025-04-01,Active
SUB_00191,Hassan Al Kindi,Dubai,Zone 6,Prepaid,Basic,93.49,2024-05-15,Active
SUB_00192,Fatima Al Kindi,Dubai,Zone 8,Prepaid,Premium,202.3,2025-03-14,Suspended
SUB_00193,Omar Al Maktoum,Dubai,Zone 2,Postpaid,Basic,73.47,2024-11-10,Active
SUB_00194,Hana Al Kindi,Dubai,Zone 7,Prepaid,Premium,297.48,2024-09-06,Active
SUB_00195,Hassan Al Falasi,Dubai,Zone 6,Postpaid,Premium,294.02,2024-03-27,Active
SUB_00196,Hassan Al Mansouri,Sharjah,Zone 2,Prepaid,Basic,61.74,2023-09-08,Active
SUB_00197,Ali Al Maktoum,Dubai,Zone 2,Postpaid,Standard,143.4,2025-04-30,Active
SUB_00198,Fatima Al Falasi,Abu Dhabi,Zone 3,Postpaid,Basic,84.7,2025-07-10,Active
SUB_00199,Ahmed Al Qassimi,Abu Dhabi,Zone 1,Postpaid,Basic,64.67,2024-07-21,Suspended
SUB_00200,Omar Al Maktoum,Ajman,Zone 4,Prepaid,Premium,279.67,2024-01-07,Suspended
SUB_00201,Mohammed Al Maktoum,Sharjah,Zone 3,Prepaid,Standard,107.9,2024-07-13,Active
SUB_00202,Noor Al Maktoum,Abu Dhabi,Zone 8,Postpaid,Unlimited,486.92,2025-03-15,Suspended
SUB_00203,Aisha Al Falasi,Abu Dhabi,Zone 5,Prepaid,Unlimited,418.94,2023-09-26,Active
SUB_00204,Ahmed Al Falasi,Dubai,Zone 5,Postpaid,Premium,301.64,2025-02-28,Active
SUB_00205,Fatima Al Falasi,Abu Dhabi,Zone 6,Prepaid,Basic,99.38,2024-10-06,Active
SUB_00206,Omar Al Qassimi,Sharjah,Zone 8,Prepaid,Standard,184.53,2025-01-17,Active
SUB_00207,Omar Al Falasi,Abu Dhabi,Zone 2,Postpaid,Standard,123.72,2024-01-01,Active
SUB_00208,Hana Al Kindi,Sharjah,Zone 5,Prepaid,Basic,99.63,2024-10-10,Active
SUB_00209,Ahmed Al Falasi,Dubai,Zone 5,Prepaid,Standard,100.81,2025-06-19,Active
SUB_00210,Noor Al Falasi,Ajman,Zone 5,Prepaid,Standard,177.57,2024-12-16,Active
SUB_00211,Noor Al Qassimi,Dubai,Zone 4,Postpaid,Basic,81.83,2023-11-12,Churned
SUB_00212,Ali Al Maktoum,Dubai,Zone 2,Prepaid,Basic,95.17,2023-10-17,Churned
SUB_00213,Ahmed Al Qassimi,Abu Dhabi,Zone 8,Prepaid,Basic,51.67,2024-07-31,Active
SUB_00214,Mohammed Al Mansouri,Dubai,Zone 5,Postpaid,Basic,66.34,2024-06-09,Active
SUB_00215,Mohammed Al Maktoum,Dubai,Zone 3,Prepaid,Standard,178.65,2024-07-30,Active
SUB_00216,Hassan Al Kindi,Sharjah,Zone 5,Prepaid,Standard,183.05,2024-11-18,Active
SUB_00217,Leila Al Qassimi,Abu Dhabi,Zone 6,Prepaid,Basic,90.21,2024-04-16,Active
SUB_00218,Fatima Al Maktoum,Ajman,Zone 4,Postpaid,Standard,186.01,2023-09-18,Active
SUB_00219,Omar Al Kindi,Abu Dhabi,Zone 6,Prepaid,Basic,54.52,2024-06-30,Active
SUB_00220,Ahmed Al Qassimi,Sharjah,Zone 2,Postpaid,Basic,72.74,2023-09-20,Active
SUB_00221,Ali Al Kindi,Dubai,Zone 7,Postpaid,Basic,91.12,2024-07-24,Active
SUB_00222,Fatima Al Maktoum,Sharjah,Zone 8,Prepaid,Premium,203.75,2024-01-12,Active
SUB_00223,Hana Al Kindi,Dubai,Zone 4,Prepaid,Premium,297.15,2023-10-28,Suspended
SUB_00224,Leila Al Qassimi,Sharjah,Zone 7,Prepaid,Premium,217.5,2025-06-23,Active
SUB_00225,Ahmed Al Qassimi,Dubai,Zone 8,Postpaid,Basic,55.81,2024-12-11,Active
SUB_00226,Hassan Al Maktoum,Dubai,Zone 7,Prepaid,Basic,72.68,2023-09-22,Active
SUB_00227,Hassan Al Falasi,Abu Dhabi,Zone 3,Postpaid,Premium,332.81,2023-10-08,Active
SUB_00228,Fatima Al Falasi,Dubai,Zone 7,Prepaid,Standard,193.91,2024-10-26,Active
SUB_00229,Ahmed Al Qassimi,Abu Dhabi,Zone 4,Prepaid,Standard,144.34,2024-12-10,Active
SUB_00230,Hana Al Mansouri,Dubai,Zone 6,Postpaid,Premium,281.67,2023-10-18,Active
SUB_00231,Hana Al Mansouri,Ajman,Zone 7,Prepaid,Premium,241.38,2025-04-05,Active
SUB_00232,Leila Al Mansouri,Abu Dhabi,Zone 4,Prepaid,Basic,82.09,2023-12-06,Active
SUB_00233,Ahmed Al Mansouri,Abu Dhabi,Zone 6,Prepaid,Basic,62.18,2025-04-02,Active
SUB_00234,Noor Al Maktoum,Fujairah,Zone 2,Prepaid,Basic,91.49,2024-01-19,Active
SUB_00235,Aisha Al Kindi,Dubai,Zone 4,Postpaid,Basic,90.65,2024-12-13,Active
SUB_00236,Hana Al Maktoum,Dubai,Zone 1,Prepaid,Premium,241.59,2025-03-13,Active
SUB_00237,Mohammed Al Kindi,Dubai,Zone 5,Prepaid,Basic,89.93,2025-04-18,Suspended
SUB_00238,Ahmed Al Maktoum,Ajman,Zone 1,Prepaid,Standard,135.82,2024-12-08,Active
SUB_00239,Noor Al Qassimi,Dubai,Zone 1,Postpaid,Standard,117.42,2025-06-16,Active
SUB_00240,Mohammed Al Falasi,Abu Dhabi,Zone 2,Prepaid,Basic,87.28,2024-04-08,Active
SUB_00241,Leila Al Qassimi,Dubai,Zone 2,Postpaid,Basic,72.6,2024-12-25,Active
SUB_00242,Noor Al Mansouri,Dubai,Zone 5,Prepaid,Premium,268.71,2025-07-08,Active
SUB_00243,Ahmed Al Falasi,Abu Dhabi,Zone 7,Prepaid,Premium,263.94,2025-04-20,Suspended
SUB_00244,Leila Al Falasi,Sharjah,Zone 2,Prepaid,Basic,94.96,2024-09-13,Active
SUB_00245,Noor Al Maktoum,Abu Dhabi,Zone 2,Prepaid,Standard,112.62,2023-11-08,Active
SUB_00246,Noor Al Kindi,Dubai,Zone 6,Postpaid,Basic,69.05,2023-12-06,Active
SUB_00247,Hassan Al Qassimi,Sharjah,Zone 8,Prepaid,Premium,275.83,2024-05-25,Active
SUB_00248,Fatima Al Mansouri,Dubai,Zone 4,Postpaid,Premium,264.51,2024-12-18,Active
SUB_00249,Omar Al Qassimi,Dubai,Zone 8,Prepaid,Standard,139.87,2025-05-03,Active
SUB_00250,Hana Al Falasi,Ajman,Zone 6,Prepaid,Unlimited,449.77,2024-07-21,Active
SUB_00251,Mohammed Al Falasi,Dubai,Zone 2,Prepaid,Premium,213.68,2025-05-13,Active
SUB_00252,Fatima Al Falasi,Sharjah,Zone 2,Postpaid,Premium,311.69,2024-07-23,Active
